,Unnamed: 0,Source,Author,Title,URL,date,content
144,144,CNN,Joan Biskupic,Behind the scenes in 2000 when Supreme Court liberals thought Nazi and Dred Scott references in gay rights dissent were distracting,https://www.cnn.com/2023/05/18/politics/gay-rights-stevens-ginsburg-supreme-court-boy-scouts/index.html,2023-05-18T09:00:43Z,"As he began writing an angry dissent in a gay rights case 23 years ago, Supreme Court Justice John Paul Stevens was comparing the majoritys decision against a gay man to Nazi persecution. 
What is t… [+16052 chars]"
145,145,CNN,Alisha Ebrahimji,A liquor store clerk was indicted after she allegedly tried to claim a winning $3 million lottery ticket left by a customer,https://www.cnn.com/2023/05/18/us/massachusetts-winning-lottery-ticket-store-clerk-indicted/index.html,2023-05-18T19:32:20Z,"A liquor store clerk schemed, stole and tried to cash out a winning $3 million lottery ticket, a Massachusetts county prosecutor said, before investigators helped by technology launched a hunt for th… [+3790 chars]"
146,146,CNN,Ariane de Vogue,Supreme Court rules against Andy Warhol in copyright dispute over Prince portrait,https://www.cnn.com/2023/05/18/politics/supreme-court-prince-andy-warhol/index.html,2023-05-18T14:18:01Z,"The Supreme Court ruled Thursday that the late Andy Warhol infringed on a photographers copyright when he created a series of silk screens based on a photograph of the late singer Prince.
The ruling… [+1681 chars]"
147,147,CNN,Brian Fung,Supreme Court shields Twitter from liability for terror-related content,https://www.cnn.com/2023/05/18/politics/supreme-court-twitter-google-social-media/index.html,2023-05-18T14:30:58Z,"Twitter will not have to face accusations it aided and abetted terrorism when it hosted tweets created by the terror group ISIS, the Supreme Court ruled Thursday.
The court also dismissed a closely … [+1008 chars]"
148,148,CNN,Alayna Treene,National Archives officials testify that every administration since Reagan has mishandled classified material,https://www.cnn.com/2023/05/17/politics/classified-documents-nara-former-presidents/index.html,2023-05-18T01:54:14Z,"Every administration since President Ronald Reagan has mishandled classified materials, including commingling classified and unclassified documents, National Archives officials told the House Intelli… [+3461 chars]"
149,149,CNN,Brian Fung,US senator introduces bill to create a federal agency to regulate AI,https://www.cnn.com/2023/05/18/tech/bennet-digital-regulator-bill-ai-provisions/index.html,2023-05-18T09:00:14Z,"Days after OpenAI CEO Sam Altman testified in front of Congress and proposed creating a new federal agency to regulate artificial intelligence, a US senator has introduced a bill to do just that.
On… [+3835 chars]"
150,150,CNN,Rebekah Riess,Widowed groom files wrongful death lawsuit against alleged drunk driver over wife's death,https://www.cnn.com/2023/05/18/us/widow-groom-wrongful-death-lawsuit/index.html,2023-05-18T23:10:37Z,The groom whose wife was killed by a car as they were leaving their South Carolina wedding has filed a wrongful death lawsuit against the alleged drunk driver and a number of local establishments whe… [+3174 chars]
151,151,CNN,Rob Frehse,Limo company employee found guilty of manslaughter in an upstate New York crash that killed 20 people,https://www.cnn.com/2023/05/18/us/new-york-limo-driver-crash-manslaughter/index.html,2023-05-18T04:20:23Z,"A limousine company worker who authorities say hired the driver involved in a 2018 limo wreck that killed 20 people in upstate New York was found guilty Wednesday of 20 counts of manslaughter.
Nauma… [+3460 chars]"
152,152,CNN,"Eric Levenson,Veronica Miracle,Anna-Maja Rappard",Accused killer of tech exec Bob Lee pleads not guilty to murder charge at arraignment,https://www.cnn.com/2023/05/18/us/bob-lee-cash-app-murder-arraignment/index.html,2023-05-18T17:42:08Z,"The man accused of fatally stabbing the tech executive Bob Lee last month pleaded not guilty to murder in a San Francisco court Thursday.
Nima Momeni will be held in custody without bail, the judge … [+4350 chars]"
153,153,CNN,"Annie Grayer,Alayna Treene,Sara Murray",Jim Jordan's FBI whistleblowers to testify publicly before Congress as questions about their legitimacy remain,https://www.cnn.com/2023/05/18/politics/whistleblower-hearing-jim-jordan/index.html,2023-05-18T11:59:02Z,"Three self-described FBI whistleblowers who are key to the Republican narrative that the FBI is weaponized against conservatives will testify in a House hearing on Thursday, the latest escalation of … [+8313 chars]"
